colonia,Calle,# de casa,CÃ³digo postal,Unnamed: 4,Ubicacion,Latitude,Longitude
BALCONES DE OBLATOS,HACIENDA DEL CA,2275,44720,Guadalajara,BALCONES DE OBLATOS HACIENDA DEL CA 2275 44720 Guadalajara,20.7051122,-103.2949895
JARDINES DEL BOSQUE,PLACERES,806,44520,zapopan,JARDINES DEL BOSQUE PLACERES 806 44520 zapopan,20.6651045,-103.3918888
PASEOS DEL BRISE#O,PASEOS DE LOS I,1,45236,zapopan,PASEOS DEL BRISE#O PASEOS DE LOS I 1 45236 zapopan,20.7408232,-103.3687889
ALTAMIRA,AV AMERICA,580,45160,zapopan,ALTAMIRA AV AMERICA 580 45160 zapopan,20.7122558,-103.3821956
1RO DE MAYO 1A SECCI,CARLOS A CARRIL,527,44970,Guadalajara,1RO DE MAYO 1A SECCI CARLOS A CARRIL 527 44970 Guadalajara,20.6225824,-103.3572848
RINCONADA DE HUENTITAN,JOSE MARIA CANA,5128,44250,Guadalajara,RINCONADA DE HUENTITAN JOSE MARIA CANA 5128 44250 Guadalajara,20.7290954,-103.3211909
RESIDENC LA ESTANCIA,WOLFANG AMADEUS,5552,45030,zapopan,RESIDENC LA ESTANCIA WOLFANG AMADEUS 5552 45030 zapopan,20.6733758,-103.4280012
RANCHO NUEVO,DOMINGO RAMIRE,1150,44240,Guadalajara,RANCHO NUEVO DOMINGO RAMIRE 1150 44240 Guadalajara,20.7209179,-103.331296
VILLA VICENTE GUERRE,ISLA USTICA,3318,44860,Guadalajara,VILLA VICENTE GUERRE ISLA USTICA 3318 44860 Guadalajara,20.6751707,-103.3473385
VIRREYES RESIDENCIAL,AV NACIONES UNI,6904,45110,zapopan,VIRREYES RESIDENCIAL AV NACIONES UNI 6904 45110 zapopan,20.6956146,-103.4430714
LOMAS DE MIRAMAR,PUERTO CHAMELA,314,45060,zapopan,LOMAS DE MIRAMAR PUERTO CHAMELA 314 45060 zapopan,20.6379988,-103.4611916
LAS AGUILAS,RIO TOMATLAN,800,45080,zapopan,LAS AGUILAS RIO TOMATLAN 800 45080 zapopan,20.6259866,-103.4079802
EL MANANTIAL S REFOR,AVDE LA PATRIA,202,44470,Guadalajara,EL MANANTIAL S REFOR AVDE LA PATRIA 202 44470 Guadalajara,20.6209342,-103.3499186
HIGUERILLAS,MARIANO RODRIGU,2669,44470,Guadalajara,HIGUERILLAS MARIANO RODRIGU 2669 44470 Guadalajara,20.6327983,-103.3489234
PARAISOS DEL COLLY,GALEANA,1068,45069,zapopan,PARAISOS DEL COLLY GALEANA 1068 45069 zapopan,20.6508689,-103.4549679
VICTOR HUGO,PRIVADA COLON,150,45190,zapopan,VICTOR HUGO PRIVADA COLON 150 45190 zapopan,20.7212215,-103.3545682
MODERNA,AV ESPANA,1092,44190,Guadalajara,MODERNA AV ESPANA 1092 44190 Guadalajara,20.6592017,-103.3525373
POLANQUITO,MIGUEL MACIAS,3653,44969,Guadalajara,POLANQUITO MIGUEL MACIAS 3653 44969 Guadalajara,20.6177446,-103.3724473
HUENTITAN EL BAJO,VOLCAN VIRGEN,182,44250,Guadalajara,HUENTITAN EL BAJO VOLCAN VIRGEN 182 44250 Guadalajara,20.7305287,-103.3169957
JARDINES DE STA ISAB,COMBATE DE SACR,228,44300,Guadalajara,JARDINES DE STA ISAB COMBATE DE SACR 228 44300 Guadalajara,20.7146077,-103.3103647
VALLE REAL,AV RAMON CORONA,2748,45019,zapopan,VALLE REAL AV RAMON CORONA 2748 45019 zapopan,20.7328089,-103.4599375
IXTLAHUACAN DEL RIO,HDA SAN MIGUEL,10,45260,zapopan,IXTLAHUACAN DEL RIO HDA SAN MIGUEL 10 45260 zapopan,20.8692661,-103.2355813
ARENALES TAPATIOS,AV GUADALUPE,132,45066,zapopan,ARENALES TAPATIOS AV GUADALUPE 132 45066 zapopan,20.6667157,-103.3938876
COPALITA,AV AMARANTO,175,45200,zapopan,COPALITA AV AMARANTO 175 45200 zapopan,20.8101768,-103.4544621
VILLA UNIVESITARIA,AV PATRIA,1446,45110,zapopan,VILLA UNIVESITARIA AV PATRIA 1446 45110 zapopan,20.6973658,-103.4155417
ZALATE II,OTILIO GONZALEZ,1116,44760,Guadalajara,ZALATE II OTILIO GONZALEZ 1116 44760 Guadalajara,20.6793445,-103.2748488
BOSQUES D L VICTORIA,FAUNA,2765,44540,Guadalajara,BOSQUES D L VICTORIA FAUNA 2765 44540 Guadalajara,20.6463741,-103.3890559
MIGUEL HIDALGO,15 DE SEPTIEMBR,3017,45186,zapopan,MIGUEL HIDALGO 15 DE SEPTIEMBR 3017 45186 zapopan,20.7459284,-103.3486213
TETLAN,JOSE RAMOS,4342,44820,Guadalajara,TETLAN JOSE RAMOS 4342 44820 Guadalajara,20.6607945,-103.2718488
FRACC CUSPIDE,SAN MATEO 1155,27,45200,zapopan,FRACC CUSPIDE SAN MATEO 1155 27 45200 zapopan,20.7943709,-103.4676263
HERMOSA PROVIN ZO TE,TELEFONISTAS,3331,44770,Guadalajara,HERMOSA PROVIN ZO TE TELEFONISTAS 3331 44770 Guadalajara,20.6684351,-103.2856733
HERMOSA PROVIN ZO TE,ARQUIMIDES,630,44770,Guadalajara,HERMOSA PROVIN ZO TE ARQUIMIDES 630 44770 Guadalajara,20.6713596,-103.2843857
FRACC CUSPIDE,CAMINO AL POTRE,1200,45200,zapopan,FRACC CUSPIDE CAMINO AL POTRE 1200 45200 zapopan,20.8038746,-103.4967173
SANTA ANA TEPETITLAN,HIDALGO,35,45230,zapopan,SANTA ANA TEPETITLAN HIDALGO 35 45230 zapopan,20.6208879,-103.4560404
U H EL SAUZ INF,JAIME TORRES B,3090,44987,Guadalajara,U H EL SAUZ INF JAIME TORRES B 3090 44987 Guadalajara,20.6286263,-103.3919446
OBLATOS PONIENTE,HACIENDA DE TAL,2191,44700,Guadalajara,OBLATOS PONIENTE HACIENDA DE TAL 2191 44700 Guadalajara,20.6958496,-103.2980962
RESIDENCIAL TESISTAN,PARQUE MEXICANO,150,45200,zapopan,RESIDENCIAL TESISTAN PARQUE MEXICANO 150 45200 zapopan,20.7990055,-103.4673951
CANTEROS,PRIVADA CANTERO,1564,45190,zapopan,CANTEROS PRIVADA CANTERO 1564 45190 zapopan,20.7209881,-103.3500652
RANCHO NUEVO,CELERINO NAVARR,4135,44240,zapopan,RANCHO NUEVO CELERINO NAVARR 4135 44240 zapopan,20.7173252,-103.3226322
GENERAL REAL,MARCONI,17,44400,Guadalajara,GENERAL REAL MARCONI 17 44400 Guadalajara,20.6682224,-103.3241833
